Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"InfoCrossing, Inc.",MO,Business Associate,25461,9/20/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
"Holy Cross Hospital, Inc.",FL,Healthcare Provider,9900,9/24/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",No
Region Ten Community Services Board,VA,Healthcare Provider,10228,9/26/2013,Theft,Email,No
Comprehensive Podiatry LLC,OH,Healthcare Provider,1360,9/27/2013,Theft,Laptop,No
Santa Clara Valley Medical Center,CA,Healthcare Provider,579,9/27/2013,Theft,Laptop,No
"Sarah Benjamin, DPM - Littleton Podiatry",CO,,3512,9/28/2013,Theft,Laptop,Yes
Carol L Patrick Ph. D.,OH,Healthcare Provider,517,9/30/2013,Theft,"Desktop Computer, Network Server",No
HOPE Family Health,TN,Healthcare Provider,6932,9/30/2013,Theft,Laptop,No
"Paul G. Klein, DPM",NJ,Healthcare Provider,2500,10/1/2013,Theft,Laptop,No
UnityPoint Health Affiliated,IA,Healthcare Provider,1825,10/2/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
TSYS Employee Health Plan,GA,,5232,10/2/2013,Theft,Email,Yes
"University of California, San Francisco",CA,Healthcare Provider,3553,10/3/2013,Theft,"Laptop, Paper/Films",No
"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,Healthcare Provider,2350,10/3/2013,Theft,Paper/Films,No
Group Health Cooperative,WA,Healthcare Provider,1015,10/3/2013,Other,Paper/Films,No
Schuylkill Health System,PA,Healthcare Provider,2810,10/4/2013,Theft,Laptop,No
CaroMont Medical Group,NC,Healthcare Provider,1310,10/4/2013,Hacking/IT Incident,Email,No
Mount SInai Medical Center,NY,Healthcare Provider,1586,10/4/2013,Improper Disposal,Paper/Films,No
Healthcare Management System ,TN,Business Associate,4330,10/4/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
Saint Louis University,MO,Healthcare Provider,3100,10/7/2013,Unauthorized Access/Disclosure,Email,No
BlackHawk,IL,Business Associate,7120,10/9/2013,Hacking/IT Incident,Network Server,Yes
Ferris State University - MI College of Optometry,MI,Healthcare Provider,3947,10/11/2013,Hacking/IT Incident,Network Server,No
"Access Counseling, LLC",IN,Healthcare Provider,566,10/14/2013,Theft,Laptop,No
Rose Medical Center,CO,Healthcare Provider,606,10/14/2013,Improper Disposal,Paper/Films,No
BriovaRx,IL,Healthcare Provider,1067,10/14/2013,Unauthorized Access/Disclosure,Email,No
"North Country Hospital and Health Center, Inc",VT,Healthcare Provider,550,10/15/2013,Theft,Laptop,No
"Hope Community Resources, Inc.",AK,Healthcare Provider,1556,10/16/2013,Unauthorized Access/Disclosure,Email,No
Broward Health Medical Center,FL,Healthcare Provider,960,10/17/2013,Unauthorized Access/Disclosure,Desktop Computer,No
Mount Sinai Medical Center,NY,Healthcare Provider,610,10/21/2013,Loss,Other Portable Electronic Device,No
Texas Health Presbyterian Dallas Hospital,TX,Healthcare Provider,949,10/22/2013,Theft,Desktop Computer,No
Ferris State University MI College of Optometry,MI,Healthcare Provider,3947,10/23/2013,Hacking/IT Incident,Network Server,No
"none, Seton Healthcare Family",TX,Healthcare Provider,5500,10/23/2013,Theft,Laptop,No
Bronx Lebanon Hospital Center,NY,,10930,10/25/2013,Unauthorized Access/Disclosure,Network Server,Yes
"Martin Luther King Jr. Health Center, Inc.",NY,,37000,10/25/2013,Unauthorized Access/Disclosure,Network Server,Yes
Good Samaritan Hospital,CA,Healthcare Provider,3833,10/25/2013,Theft,Laptop,No
SSM Health Care of Wisconsin DBA: St. Mary•À_•À_•À_s Janesville Hospital,WI,Healthcare Provider,631,10/25/2013,Theft,Laptop,No
AHMC Healthcare Inc. and affiliated Hospitals,CA,Healthcare Provider,729000,10/25/2013,Theft,Laptop,No
"Greater Dallas Orthopaedics, PLLC",TX,Healthcare Provider,5840,10/28/2013,Theft,Desktop Computer,No
"Spirit Home Health Care, Corp",FL,Business Associate,603,10/29/2013,Improper Disposal,Paper/Films,Yes
Rotech Healthcare Inc.,FL,Healthcare Provider,10680,10/29/2013,Unauthorized Access/Disclosure,Laptop,No
"Reimbursement Technologies, Inc.",PA,Healthcare Clearing House,2300,10/31/2013,Unauthorized Access/Disclosure,Network Server,No
Advocate Health and Hospitals Corporation,IL,Healthcare Provider,2237,11/1/2013,Theft,Laptop,No
Comprehensive Psychological Services LLC,SC,Healthcare Provider,3500,11/1/2013,Theft,Laptop,No
"Superior HealthPlan, Inc.",TX,Health Plan,6284,11/1/2013,Other,Paper/Films,No
Genesis Rehabilitation Services,PA,Healthcare Provider,1167,11/1/2013,Loss,Other Portable Electronic Device,No
"Colorado Health & Wellness, Inc.",CO,Healthcare Provider,651,11/2/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Allina Health,MN,Healthcare Provider,3807,11/4/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
Barnabas Health Medical Group,NJ,Healthcare Provider,1100,11/5/2013,Theft,Laptop,No
DaVita,CA,Healthcare Provider,11500,11/5/2013,Theft,Laptop,No
Blue Cross and Blue Shield of North Carolina,NC,Health Plan,687,11/7/2013,Unauthorized Access/Disclosure,Paper/Films,No
North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,Healthcare Provider,1315,11/8/2013,Unauthorized Access/Disclosure,Other,No
Triple S Salud Inc.,PR,Business Associate,13336,11/8/2013,Unauthorized Access/Disclosure,Paper/Films,Yes
Associated Urologists of North Carolina,NC,Healthcare Provider,7300,11/8/2013,Unauthorized Access/Disclosure,Other,No
Kemmet Dental Design,ND,Healthcare Provider,2000,11/12/2013,Theft,Paper/Films,No
Hospice of the Chesapeake,MD,Healthcare Provider,7606,11/12/2013,Theft,Email,No
All Source Medical Management,AZ,Business Associate,1456,11/13/2013,Theft,Other,Yes
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,2279,11/13/2013,Loss,Other Portable Electronic Device,No
Health Fitness Corporation,IL,Business Associate,3804,11/14/2013,Theft,Laptop,Yes
Health Fitness Corporation,IL,Business Associate,4837,11/14/2013,Theft,Laptop,Yes
UHS-Pruitt Corporation,GA,Healthcare Provider,1300,11/15/2013,Theft,Laptop,No
"United Dynacare, LLC dba Dynacare Laboratories",WI,Healthcare Provider,9328,11/18/2013,Theft,Other Portable Electronic Device,No
Redwood Memorial Hospital,CA,Healthcare Provider,1039,11/19/2013,Loss,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,8294,11/22/2013,Theft,"Laptop, Paper/Films",No
New Jersey Department of Human Services,NJ,Health Plan,9825,11/22/2013,Loss,Other Portable Electronic Device,No
Kaiser Foundation Hospital- Orange County,CA,Healthcare Provider,49000,11/22/2013,Loss,Other Portable Electronic Device,No
"Molina Healthcare of Texas, Inc.",TX,Health Plan,,11/26/2013,Unauthorized Access/Disclosure,Other,No
Jones Chiropractic and Maximum Health,IN,Healthcare Provider,1500,11/26/2013,Theft,Desktop Computer,No
Ronald Schubert MD PLLC,WA,Healthcare Provider,950,11/26/2013,Theft,Laptop,No
UPMC,PA,Healthcare Provider,1279,11/27/2013,Unauthorized Access/Disclosure,Electronic Medical Record,No
"UW Medicine, Privacy Manager - Breach",WA,Healthcare Provider,76183,11/27/2013,Hacking/IT Incident,Desktop Computer,No
City of Chicago,IL,Healthcare Provider,2080,11/29/2013,Unauthorized Access/Disclosure,Network Server,No
"American Anesthesiology, Inc.",FL,Healthcare Provider,1000,12/4/2013,Unauthorized Access/Disclosure,Paper/Films,No
Medical Mutual of Ohio,OH,Health Plan,643,12/6/2013,Unauthorized Access/Disclosure,Paper/Films,No
"Quality Health Claims Consultants, LLC",IL,Business Associate,1573,12/6/2013,Theft,Email,Yes
SIU HealthCare,IL,Healthcare Provider,1891,12/6/2013,"Loss, Theft",Laptop,No
The Good Samaritan Health Center,GA,Healthcare Provider,5000,12/6/2013,Hacking/IT Incident,Desktop Computer,No
PruittHealth Corporation,GA,Healthcare Provider,4500,12/6/2013,Theft,Laptop,No
Walgreen Co.,IL,Healthcare Provider,17350,12/6/2013,Other,Paper/Films,No
Methodist Dallas Medical Center,TX,Healthcare Provider,44000,12/6/2013,Unauthorized Access/Disclosure,Other,No
Florida Digestive Health Specialists,FL,Healthcare Provider,4400,12/9/2013,Unauthorized Access/Disclosure,Desktop Computer,No
"Northside Hospital, Inc.",GA,Healthcare Provider,4879,12/10/2013,Loss,Laptop,No
"Health Help, Inc.",KY,Healthcare Provider,535,12/10/2013,Theft,Other Portable Electronic Device,No
L.A. Gay & Lesbian Center,CA,Healthcare Provider,59000,12/10/2013,Hacking/IT Incident,Network Server,No
Mosaic,NE,Healthcare Provider,3857,12/11/2013,Unauthorized Access/Disclosure,Email,No
Island Peer Review Organization,NY,Business Associate,9642,12/12/2013,Loss,Other Portable Electronic Device,Yes
Molina Healthcare In,CA,Business Associate,1499,12/16/2013,Unauthorized Access/Disclosure,Network Server,Yes
Wyoming Department of Health,WY,Health Plan,11935,12/16/2013,Unauthorized Access/Disclosure,Network Server,No
Shiloh Medical Clinic,MT,Healthcare Provider,1900,12/17/2013,Unauthorized Access/Disclosure,"Desktop Computer, Email",No
DeLoach & Williamson,SC,Business Associate,3432,12/18/2013,Theft,Laptop,Yes
Wyoming Department of Health,WY,Health Plan,11935,12/19/2013,Hacking/IT Incident,Network Server,No
Colby DeHart,TN,Business Associate,2777,12/19/2013,Theft,Laptop,Yes
ZDI,CA,Business Associate,1674,12/20/2013,Loss,Paper/Films,Yes
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,12/21/2013,Other,Paper/Films,No
"Rob Meaglia, DDS",CA,Healthcare Provider,1400,12/23/2013,Theft,Desktop Computer,No
Jeff Spiegel,MA,Healthcare Provider,832,12/23/2013,Unauthorized Access/Disclosure,Email,No
Tranquility Counseling Services,NC,Healthcare Provider,1683,12/23/2013,Other,Paper/Films,No
Florida Department of Health,FL,Healthcare Provider,2354,12/23/2013,Unauthorized Access/Disclosure,Desktop Computer,No
Barry University,FL,Healthcare Provider,9017,12/31/2013,Hacking/IT Incident,"Laptop, Network Server",No
"New Mexico Oncology Hematology Consultants, LTD",NM,Healthcare Provider,12354,12/31/2013,Theft,Laptop,No
Colorado Community Health Alliance (CCHA)/Physicians Health Partners,CO,Business Associate,1918,1/2/2014,Unauthorized Access/Disclosure,Email,Yes
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,Business Associate,839711,1/3/2014,Theft,Laptop,Yes
Phoebe Putney Memorial Hospital,GA,Healthcare Provider,6989,1/3/2014,Loss,Desktop Computer,No
Coulee Medical Center,WA,Healthcare Provider,2500,1/3/2014,Theft,"Email, Laptop, Network Server",No
"RevSpring, Inc.",MI,Business Associate,3000,1/6/2014,Other,Paper/Films,Yes
North Carolina Department of Health and Human Services ,NC,Health Plan,48752,1/6/2014,Unauthorized Access/Disclosure,Other,No
"101 Family Medical Group, Privacy Manager Breach",CA,,2500,1/8/2014,Theft,Laptop,Yes
Tri Lakes Medical Center,MS,Healthcare Provider,1489,1/10/2014,Hacking/IT Incident,Network Server,No
Virginia Premier Health Plan (VPHP),VA,Business Associate,25513,1/10/2014,Theft,Paper/Films,Yes
Cook County Health & Hospitals System,IL,Healthcare Provider,22511,1/11/2014,Other,Email,No
Southwest General Health Center,OH,Healthcare Provider,953,1/13/2014,Unknown,Other,No
"RGH Enterprises, Inc.",OH,Health Plan,4230,1/13/2014,Theft,Network Server,No
Network Pharmacy Knoxville,TN,Healthcare Provider,9602,1/15/2014,Theft,Laptop,No
"Alamo Consumer Direct, LLC",TX,,,1/16/2014,,,No
Saint Francis Hospital and Medical Center,CT,Healthcare Provider,858,1/16/2014,Theft,Paper/Films,No
Sentara Healthcare,VA,Healthcare Provider,3861,1/16/2014,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Health Dimensions,MI,Healthcare Provider,5370,1/16/2014,Theft,Network Server,No
COMPLETE MEDICAL HOMECARE,KS,Healthcare Provider,1700,1/21/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Hospital for Special Surgery,NY,Healthcare Provider,937,1/21/2014,Theft,"Desktop Computer, Paper/Films",No
The Brooklyn Hospital Center,NY,Healthcare Provider,2172,1/22/2014,Loss,Other Portable Electronic Device,No
Geisinger Bloomsburg Hospital,PA,Healthcare Provider,3101,1/23/2014,Loss,Paper/Films,No
"Robert B. Neves, M.D.",CA,Business Associate,611,1/24/2014,Theft,Laptop,Yes
"Triple-S Salud, Inc. - Breach Case#2",,Health Plan,398000,1/24/2014,Theft,Network Server,Yes
"Triple-C, Inc.",PR,Business Associate,8000,1/24/2014,"Theft, Unauthorized Access/Disclosure",Network Server,Yes
"Birmingham Printing and Publishing, Inc dba Paper Airplane",AL,Business Associate,1085,1/24/2014,Other,Other,Yes
Medical Mutual of Ohio,OH,Business Associate,1420,1/27/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
University of Wisconsin-Madison School of Pharmacy,WI,Business Associate,41437,1/30/2014,Loss,Other Portable Electronic Device,Yes
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,3598,1/31/2014,Loss,Other Portable Electronic Device,No
Presence Health ,IL,Healthcare Provider,836,1/31/2014,Loss,Paper/Films,No
Beebe Medical Center,DE,Healthcare Provider,1883,1/31/2014,Other,Laptop,No
St Joseph Health System,TX,Healthcare Provider,405000,2/5/2014,Hacking/IT Incident,Network Server,No
"Min Yi, M.D.",CA,Healthcare Provider,4676,2/5/2014,Theft,Other Portable Electronic Device,No
"Easter Seal Society of Superior California, Privacy Manager Breach",CA,,3026,2/7/2014,Theft,Laptop,No
PruittHealth Pharmacy Services,GA,Healthcare Provider,841,2/7/2014,Theft,Laptop,No
Kmart Corporation,IL,Healthcare Provider,16446,2/10/2014,Theft,"Electronic Medical Record, Other",No
WA State Department of Social & Health Services,WA,Health Plan,3104,2/11/2014,"Other, Unauthorized Access/Disclosure",Paper/Films,No
"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,Healthcare Provider,6475,2/12/2014,"Other, Theft",Laptop,No
University of Miami,FL,Healthcare Provider,13074,2/12/2014,Loss,Paper/Films,No
"Supportive Concepts for Families, Inc.",PA,Healthcare Provider,593,2/13/2014,Unauthorized Access/Disclosure,Network Server,No
Health Care Solutions at Home Inc.,OH,Health Plan,1139,2/14/2014,Theft,Other,No
University of California Davis Medical Center,CA,Healthcare Provider,2269,2/14/2014,Hacking/IT Incident,Email,No
"St. Vincent Hospital and Healthcare, Inc",IN,Healthcare Provider,1142,2/18/2014,Theft,Laptop,No
"StayWell Health Management, LLC",MN,Business Associate,10024,2/21/2014,Unauthorized Access/Disclosure,Network Server,Yes
"StayWell Health Management, LLC",MN,Business Associate,520,2/21/2014,Unauthorized Access/Disclosure,Network Server,Yes
"StayWell Health Management, LLC",MN,Business Associate,4786,2/21/2014,Unauthorized Access/Disclosure,Network Server,Yes
Inspira Health Network Inc.,NJ,Healthcare Provider,1411,2/21/2014,Theft,Desktop Computer,No
"StayWell Health Management, LLC",MN,Business Associate,1511,2/25/2014,Unauthorized Access/Disclosure,Network Server,Yes
"Care Advantage, Inc.",VA,Healthcare Provider,3458,2/26/2014,Theft,Laptop,No
Pair Networks Inc.,PA,Business Associate,8845,2/26/2014,"Other, Unauthorized Access/Disclosure",Other,Yes
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,504,2/26/2014,Other,Electronic Medical Record,No
"Cornerstone Health Care, PA",NC,Healthcare Provider,548,2/26/2014,"Loss, Theft",Laptop,No
Joseph Michael Benson M.D,TX,Healthcare Provider,7500,2/27/2014,Theft,Desktop Computer,No
Data Media,GA,Business Associate,600,2/28/2014,Other,Other,Yes
Eureka Internal Medicine,CA,Healthcare Provider,3534,3/4/2014,Improper Disposal,Paper/Films,No
St. Joseph Health System,TX,Business Associate,3300,3/5/2014,Hacking/IT Incident,Network Server,Yes
Banner Health,AZ,Healthcare Provider,55207,3/5/2014,Other,Other,No
"PracMan, Inc.",AL,Business Associate,1145,3/7/2014,Hacking/IT Incident,Network Server,Yes
"PracMan, Inc.",AL,Business Associate,1179,3/10/2014,Hacking/IT Incident,Network Server,Yes
Iowa Dept. of Human Services,IA,Health Plan,2042,3/10/2014,Other,"Email, Laptop, Other Portable Electronic Device",No
Mission City Community Network,CA,Healthcare Provider,7800,3/12/2014,Theft,Email,No
"University of California, San Francisco",CA,Healthcare Provider,9861,3/12/2014,Theft,Desktop Computer,No
Detroit Medical Center - Harper University Hospital,MI,Healthcare Provider,1087,3/13/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
"Todd M. Burton, M.D.",TX,Healthcare Provider,5000,3/13/2014,Theft,Other,No
Valley View Hospital Association,CO,Healthcare Provider,5415,3/14/2014,Hacking/IT Incident,"Desktop Computer, Laptop",No
Hospitalists of Arizona,AZ,Healthcare Provider,1706,3/16/2014,Theft,Laptop,No
TMA Practice Management Group,TX,Business Associate,2260,3/17/2014,"Improper Disposal, Loss",Other Portable Electronic Device,Yes
"StayWell Health Management, LLC",MN,Business Associate,1746,3/18/2014,Unauthorized Access/Disclosure,Network Server,Yes
Berea College,KY,Healthcare Provider,1000,3/20/2014,Other,Electronic Medical Record,No
HealthPartners Inc,MN,Health Plan,27839,3/21/2014,Unauthorized Access/Disclosure,"Desktop Computer, Laptop, Other Portable Electronic Device",No
"HealthPartners Administrators, Inc.",MN,Business Associate,796,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
"HealthPartners Administrators, Inc.",MN,Business Associate,1699,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
"HealthPartners Administrators, Inc.",MN,Business Associate,715,3/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
"San Francisco General Hospital & Trauma Center, Privacy Manager Breach",CA,,55900,3/21/2014,Theft,Desktop Computer,Yes
Sutherland Healthcare Solutions,CA,Business Associate,55900,3/21/2014,Theft,Desktop Computer,Yes
Talyst,WA,Business Associate,1079,3/24/2014,Theft,Laptop,Yes
Yellowstone Boys and Girls Ranch,MT,Healthcare Provider,543,3/24/2014,Loss,Paper/Films,No
"Orlando Health, Inc.",FL,Healthcare Provider,586,3/24/2014,Loss,Other Portable Electronic Device,No
Stoetzel's Planet Chiropractic,IL,Healthcare Provider,1000,3/25/2014,Theft,"Laptop, Other Portable Electronic Device",No
NOVA Chiropractic & Rehab Center,VA,Healthcare Provider,5534,3/27/2014,"Loss, Other",Other Portable Electronic Device,No
Susquehanna Health,PA,Healthcare Provider,657,3/27/2014,Unauthorized Access/Disclosure,Email,No
Jewish Hospital,KY,Healthcare Provider,2992,3/28/2014,Other,Email,No
Franciscan Medical Group,WA,Healthcare Provider,8300,3/28/2014,Other,Email,No
Palomar Health,CA,Healthcare Provider,5499,3/28/2014,Theft,Other Portable Electronic Device,No
"Myriad Genetic Laboratories, Inc.",UT,Healthcare Provider,643,3/29/2014,Unauthorized Access/Disclosure,Email,No
Medical Center of Plano,TX,,1000,3/31/2014,Unauthorized Access/Disclosure,Other,Yes
"Policy Studies, Inc. / Postal Center International, Inc.",FL,Business Associate,580,3/31/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256,3/31/2014,Hacking/IT Incident,Email,No
Indian Health Service,MD,Health Plan,214000,4/1/2014,Unauthorized Access/Disclosure,Laptop,No
KP Northern CA Department of Research,CA,Healthcare Provider,5178,4/2/2014,Hacking/IT Incident,Network Server,No
Triple-S Salud ,PR,Health Plan,5795,4/2/2014,Theft,Other,No
American Health Inc. ,PR,Health Plan,17776,4/3/2014,Theft,Other,No
"State Long Term Care Ombudsmans Office, Michigan Department of Community Health",MI,Healthcare Provider,2595,4/3/2014,Theft,Other Portable Electronic Device,No
Presence St. Joseph's Medical Center,IL,Healthcare Provider,836,4/4/2014,Other,Paper/Films,No
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,979,4/9/2014,Loss,Paper/Films,No
Cigna,CT,Business Associate,527,4/9/2014,Loss,Paper/Films,Yes
"Amerigroup Texas, Inc. ",VA,Business Associate,75026,4/10/2014,Theft,Paper/Films,Yes
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,Health Plan,2546,4/11/2014,Unauthorized Access/Disclosure,Other,No
"University Urology, P.C.",TN,Healthcare Provider,1144,4/14/2014,Unauthorized Access/Disclosure,Paper/Films,No
"Healthy Connections, Inc",CA,Healthcare Provider,793,4/14/2014,Loss,Other Portable Electronic Device,No
IHS,MD,Health Plan,5000,4/15/2014,Unauthorized Access/Disclosure,Other,No
Triple S Salud Inc.,PR,Business Associate,7911,4/15/2014,Theft,Other Portable Electronic Device,Yes
Administracion de Seguros de Salud - Triple S Salud Inc (BA),,,46473,4/15/2014,Theft,Other Portable Electronic Device,Yes
Greenwood Leflore Hospital,MS,Healthcare Provider,3750,4/16/2014,Theft,Other,No
"Service Coordination, Inc.",MD,Business Associate,10766,4/17/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,Yes
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",GA,Business Associate,2523,4/17/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
Shaker Clinic,OH,Healthcare Provider,617,4/18/2014,Loss,Paper/Films,No
VGM Homelink,IA,,1400,4/18/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Larsen Dental Care LLC,ID,Healthcare Provider,6900,4/18/2014,Theft,Other Portable Electronic Device,No
Centura Health,CO,Healthcare Provider,12286,4/22/2014,Hacking/IT Incident,Email,No
"Ladies First Choice, Inc.",FL,Healthcare Provider,2365,4/23/2014,"Theft, Unauthorized Access/Disclosure",Laptop,No
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,Health Plan,8830,4/24/2014,Theft,Other,No
Inclusion Research Institute,DC,Business Associate,2200,4/24/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Willis North America Inc. Medical Expense Benefit Plan,NY,Health Plan,4830,4/24/2014,Unauthorized Access/Disclosure,Email,No
Sorenson Communications/CaptionCall Group Health Plan,UT,Health Plan,9800,4/24/2014,Hacking/IT Incident,Network Server,Yes
Baylor Medical Center at McKinney,TX,Healthcare Provider,1253,4/25/2014,Hacking/IT Incident,Email,No
Baylor Medical Center at Irving,TX,Healthcare Provider,2308,4/25/2014,Hacking/IT Incident,Email,No
Baylor Regional Medical Center at Plano,TX,Healthcare Provider,1981,4/25/2014,Hacking/IT Incident,Email,No
HealthTexas Provider Network,TX,Healthcare Provider,2742,4/25/2014,Hacking/IT Incident,Email,No
"Ferguson Advertising, Inc.",IN,Business Associate,1361,4/25/2014,Hacking/IT Incident,Network Server,Yes
Iowa Medicaid Enterprise,IA,Health Plan,862,4/25/2014,Unauthorized Access/Disclosure,Paper/Films,No
Flowers Hospital,AL,Healthcare Provider,629,4/25/2014,Theft,Paper/Films,No
Reading Health System,PA,Healthcare Provider,1845,4/29/2014,Loss,Paper/Films,No
MDF Transcription Services,MA,Business Associate,15265,4/29/2014,Other,Other,Yes
OptumRx,IL,Business Associate,5696,4/30/2014,Theft,Paper/Films,Yes
UMass Memorial Medical Center,MA,Healthcare Provider,2387,5/5/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
"Porter, MD, Steven",UT,Healthcare Provider,,5/6/2014,Improper Disposal,Network Server,No
KEYSTONE INSURERS GROUP,IN,Business Associate,1008,5/6/2014,Other,Email,Yes
Options Counseling Center,NJ,Healthcare Provider,2828,5/9/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
"Molina Healthcare of New Mexico, Inc.",NM,,4744,5/10/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Howard L. Weinstein D.P.M.,TX,Healthcare Provider,1000,5/10/2014,Theft,Laptop,No
American Health Inc. ,PR,Health Plan,11531,5/18/2014,Unauthorized Access/Disclosure,Paper/Films,No
Central City Concern,OR,Healthcare Provider,17914,5/19/2014,Unauthorized Access/Disclosure,Other,No
Blue Cross Blue Shield of Michigan Blue Care Network,MI,,502,5/19/2014,Unauthorized Access/Disclosure,Email,Yes
Elliot Health System,NH,Healthcare Provider,1208,5/21/2014,Theft,Desktop Computer,No
"Sutherland Healthcare Solutions, Inc.",NJ,Business Associate,342197,5/22/2014,Theft,"Email, Laptop",Yes
Humana Inc [case #15381],KY,Health Plan,2962,5/23/2014,Theft,Other Portable Electronic Device,No
Jamaica Hospital Medical Center,NY,Healthcare Provider,26162,5/23/2014,Unauthorized Access/Disclosure,Desktop Computer,No
Bay Park Hospital,OH,Healthcare Provider,594,5/28/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No
Triple-S Salud ,PR,Health Plan,56853,5/29/2014,Unauthorized Access/Disclosure,Paper/Films,No
"NFP Maschino, Hudelson & Associates",OK,Business Associate,3814,5/30/2014,Theft,Laptop,Yes
Salina Health Education dba Salina Healthcare Center,KS,Healthcare Provider,9640,6/5/2014,Unauthorized Access/Disclosure,Email,No
Open Cities Health Center ,MN,Healthcare Provider,1304,6/5/2014,Other,Email,No
Mark A. Gillispie,CA,Healthcare Provider,5845,6/6/2014,Theft,Desktop Computer,No
Penn State Milton S. Hershey Medical Center,PA,Healthcare Provider,1801,6/6/2014,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device",No
Walgreen Co.,IL,Healthcare Provider,540,6/6/2014,Theft,"Desktop Computer, Paper/Films",No
St. Francis Hospital,GA,Healthcare Provider,1175,6/9/2014,Unauthorized Access/Disclosure,Email,No
"Doctors First Choice Billings, Inc",FL,Business Associate,9255,6/11/2014,Theft,Other,Yes
"Doctors First Choice Billings, Inc.",FL,Business Associate,1831,6/12/2014,Hacking/IT Incident,Other,Yes
Santa Rosa Memorial Hospital ,CA,Healthcare Provider,33702,6/13/2014,"Loss, Theft",Other Portable Electronic Device,No
Baylor Medical Center at Carrollton,TX,Healthcare Provider,2874,6/13/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
Group Health Plan of Hurley Medical Center,MI,Health Plan,2289,6/16/2014,Unauthorized Access/Disclosure,Email,No
IHS,MD,Health Plan,620,6/19/2014,Unauthorized Access/Disclosure,Other,No
"David DiGiallorenzo, D.M.D.",PA,Healthcare Provider,11000,6/19/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Other,No
"NRAD Medical Associates, P.C.",NY,Healthcare Provider,97000,6/20/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device",No
NYU Hospitals Center,NY,Healthcare Provider,872,6/20/2014,Theft,Laptop,No
"Abrham Tekola, M.D.,INC",CA,Healthcare Provider,5471,6/20/2014,Theft,Desktop Computer,No
"Colorado Neurodiagnostics, PLLC",CO,Healthcare Provider,750,6/23/2014,Theft,Laptop,No
"Sloane Stecker Physical Therapy, PC",NY,Healthcare Provider,2000,6/24/2014,Theft,Electronic Medical Record,No
Riverside County Regional Medical Center,CA,Healthcare Provider,563,6/24/2014,Theft,Laptop,No
Rady Children's Hospital - San Diego,CA,Healthcare Provider,14121,6/24/2014,Unauthorized Access/Disclosure,Email,No
Rady Children's Hospital - San Diego,CA,Healthcare Provider,6307,6/25/2014,Unauthorized Access/Disclosure,"Email, Other",No
Alabama Department of Public Health,AL,Healthcare Provider,1200,6/26/2014,Theft,Electronic Medical Record,No
The Union Labor Life Insurance Company,MD,Healthcare Provider,42713,6/27/2014,Theft,Laptop,No
